id,question,answer
0,"What is lsp-medialive-enricher
?","
Enriches CloudWatch Events from AWS MediaLive and publishes to the MediaLive Encoding Output Topic, to be consumed by [lsp-influx-poster](https://github.com/bbc/lsp-influx-poster) and [lsp-event-statusmapper](https://github.com/bbc/lsp-events-statusmapper).

"
1,"lsp-medialive-enricher's ""Development
""","
The Makefile defines all the processes needed to build and test the project.

"
2,"lsp-medialive-enricher's ""Make a clean build of the java application
""","```
make jar
```

"
3,"lsp-medialive-enricher's ""Run the tests
""","```
make test
```

"
4,"lsp-medialive-enricher's ""Combination of the above two commands - building first and testing next
""","```
make clean_test
```
"
5,"lsp-medialive-enricher's ""Cucumber tags can be provided in the environment variable TAGS to run specific scenarios:
""","```
TAGS=""@happy"" make test or TAGS=""@happy"" ./test
```

NOTE: By default, the tests run using the same arguments as Okta. This means the 
order is random and any scenarios tagged with '@wip' are skipped.

"
6,"lsp-medialive-enricher's ""Docker Component tests
""","
The component tests use Docker to build a mock environment representative of the cloud 
network the lambda is executed inside of.

The component tests now do not require the internet to run and only require the internet 
to pull images and dependencies to build/run the mocks. This should further reduce the 
'runs on my machine' and random networking based failures in our tests.

"
7,"lsp-medialive-enricher's ""Docker-compose.yml
""","
Defines all of the services for our cucumber tests and mock environment. Including the
network setup to allow aws bound calls to be routed internally within the Docker Network.

"
8,"lsp-medialive-enricher's ""Reverse-proxy
""","
This handles the ssl termination for the https requests the lambda code will try to 
make to the mock aws services. Most of these have no or limited ssl support so the
reverse proxy can handle this and use plain http to the services. 

A key advantage of this and the combination of docker allows us to use the 'true' DNS 
name of the aws endpoint and route it to a Docker container by using the aliases feature
of docker networking. This allows us to make no changes to the endpoints the services use 
to communicate out of the lambda.

"
9,"lsp-medialive-enricher's ""Cucumber
""","
The cucumber tests are built into a docker image and run inside the same network as the aws
services. This allows the standard ruby libraries to interact with AWS to continue working 
without any alteration.

It also prevents the need to do any port mapping on the Docker host. This would have caused 
issues on Build servers if two tests try to map the same port.

"
10,"lsp-medialive-enricher's ""Deploying Stacks
""","
Needs to be in this order:
- Resources
- Ispy
- Component
"
11,lsp-medialive-enricher Enricher receives a switchInputLogEvent and sends DEEL messages to topics?,"Given MediaLive API Gateway GET /channels endpoint exists and will respond with
Given MediaLive API Gateway PUT /channels endpoint exists and will respond with
When a switchInputLogEvent ""non-slate input"" message arrives on the queue
Then an ispy event ""lsp-medialive-enricher.livestream.input-switch.received"" is emitted with the received attributes
Then a GET request is sent to the API Gateway /channels endpoint
And an ispy event ""lsp-medialive-enricher.livestream.input-switch.cvid.retrieved"" is emitted with the received attributes
And a DEEL message is sent to the ""OUT"" topic with
And a DEEL message is sent to the ""MEDIALIVE_IN"" topic with
And an ispy event ""lsp-medialive-enricher.livestream.input-switch.notification.complete"" is emitted with the received attributes
And a PUT request is sent to the API Gateway /channels endpoint
And an ispy event ""lsp-medialive-enricher.livestream.input-switch.active-input.updated"" is emitted with the received attributes

"
12,lsp-medialive-enricher Enricher receives a switchInputLogEvent for slate input and sends DEEL messages to topics?,"Given MediaLive API Gateway GET /channels endpoint exists and will respond with
Given MediaLive API Gateway PUT /channels endpoint exists and will respond with
When a switchInputLogEvent ""slate"" message arrives on the queue
Then an ispy event ""lsp-medialive-enricher.livestream.input-switch.received"" is emitted with the received attributes
Then a GET request is sent to the API Gateway /channels endpoint
And an ispy event ""lsp-medialive-enricher.livestream.input-switch.cvid.retrieved"" is emitted with the received attributes
And a DEEL message is sent to the ""OUT"" topic with
And a DEEL message is sent to the ""MEDIALIVE_IN"" topic with
And an ispy event ""lsp-medialive-enricher.livestream.input-switch.notification.complete"" is emitted with the received attributes
And a PUT request is sent to the API Gateway /channels endpoint
And an ispy event ""lsp-medialive-enricher.livestream.input-switch.active-input.updated"" is emitted with the received attributes

"
13,lsp-medialive-enricher Enricher receives a 4xx error when attempting to retrieve Channel record from State Api?,"Given MediaLive API Gateway GET /channels endpoint exists and will respond with
When a switchInputLogEvent ""non-slate input"" message arrives on the queue
Then an ispy event ""lsp-medialive-enricher.livestream.input-switch.received"" is emitted
Then a GET request is sent to the API Gateway /channels endpoint
And an ispy event ""lsp-medialive-enricher.channel-retrieve-failed"" is emitted
And a DEEL message is sent to the ""OUT"" topic with
And an ispy event ""lsp-medialive-enricher.channel-retrieve-failed.notification"" is emitted
Then the message is sent to the fail queue

"
14,lsp-medialive-enricher Enricher receives a 5xx error when attempting to retrieve Channel record from State Api?,"Given MediaLive API Gateway GET /channels endpoint exists and will respond with
When a switchInputLogEvent ""non-slate input"" message arrives on the queue
Then an ispy event ""lsp-medialive-enricher.livestream.input-switch.received"" is emitted
Then a GET request is sent to the API Gateway /channels endpoint
And an ispy event ""lsp-medialive-enricher.channel-retrieve-failed"" is emitted
And a DEEL message is sent to the ""OUT"" topic with
And an ispy event ""lsp-medialive-enricher.channel-retrieve-failed.notification"" is emitted

"
15,lsp-medialive-enricher Enricher finds nothing when attempting to retrieve Channel record from State Api?,"Given MediaLive API Gateway GET /channels endpoint exists and will respond with
When a switchInputLogEvent ""non-slate input"" message arrives on the queue
Then an ispy event ""lsp-medialive-enricher.livestream.input-switch.received"" is emitted
Then a GET request is sent to the API Gateway /channels endpoint
And an ispy event ""lsp-medialive-enricher.channel-record-notfound"" is emitted
And a DEEL message is sent to the ""OUT"" topic with
And an ispy event ""lsp-medialive-enricher.channel-record-notfound.notification"" is emitted
Then the message is sent to the fail queue

"
16,lsp-medialive-enricher Enricher receives an error from State Api when performing PUT /channels operation?,"Given MediaLive API Gateway GET /channels endpoint exists and will respond with
Given MediaLive API Gateway PUT /channels endpoint exists and will respond with
When a switchInputLogEvent ""non-slate input"" message arrives on the queue
Then an ispy event ""lsp-medialive-enricher.livestream.input-switch.received"" is emitted with the received attributes
Then a GET request is sent to the API Gateway /channels endpoint
And an ispy event ""lsp-medialive-enricher.livestream.input-switch.cvid.retrieved"" is emitted with the received attributes
And a DEEL message is sent to the ""OUT"" topic with
And a DEEL message is sent to the ""MEDIALIVE_IN"" topic with
And an ispy event ""lsp-medialive-enricher.livestream.input-switch.notification.complete"" is emitted with the received attributes
And a PUT request is sent to the API Gateway /channels endpoint
And a DEEL message is sent to the ""OUT"" topic with
And an ispy event ""lsp-medialive-enricher.channel-update-failed.notification"" is emitted
Then the message is sent to the fail queue

"
